~MMSI,Longitude,Latitude,Speed Over Ground (SOG),Course Over Ground (COG),Creation Time Local,Vessel Name,Call Sign,AIS Message Type,Time Stamp,Ship Type,Length,Beam,Destination
235081274,-0.1185,51.5093,0.2,360.0,13/03/2019 16:20:55,,,1,10,,,,
235054667,-0.1068,51.5100,10.4,271.8,13/03/2019 16:20:55,,,1,50,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:20:55,,,1,40,,,,
235078641,181.0000,91.0000,102.3,360.0,13/03/2019 16:20:55,,,1,63,,,,
235093883,-0.1059,51.5103,0.0,360.0,13/03/2019 16:20:56,,,1,32,,,,
235052117,-0.1205,51.5068,6.6,205.8,13/03/2019 16:20:56,,,1,52,,,,
235078641,-0.1197,51.5058,5.3,17.2,13/03/2019 16:20:56,,,1,43,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:20:56,,,1,53,,,,
235053647,-0.1098,51.5089,6.0,79.1,13/03/2019 16:20:56,,,1,53,,,,
235081274,-0.1185,51.5093,0.0,360.0,13/03/2019 16:20:56,,,1,30,,,,
235080605,-0.1174,51.5098,0.1,267.0,13/03/2019 16:20:56,,,1,29,,,,
235081274,-0.1185,51.5093,0.1,360.0,13/03/2019 16:20:56,,,1,50,,,,
235054667,-0.1068,51.5100,10.4,271.8,13/03/2019 16:20:57,,,1,50,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:20:57,,,1,40,,,,
235053188,-0.1006,51.5105,2.8,301.6,13/03/2019 16:20:57,,,1,56,,,,
235093883,-0.1059,51.5103,0.0,360.0,13/03/2019 16:20:57,,,1,32,,,,
235078641,-0.1197,51.5058,5.3,17.2,13/03/2019 16:20:58,,,1,43,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:20:58,,,1,53,,,,
235053647,-0.1098,51.5089,6.0,79.1,13/03/2019 16:20:58,,,1,53,,,,
235081274,-0.1185,51.5093,0.0,360.0,13/03/2019 16:20:58,,,1,30,,,,
235080605,-0.1174,51.5098,0.1,267.0,13/03/2019 16:20:58,,,1,29,,,,
235081274,-0.1185,51.5093,0.1,360.0,13/03/2019 16:20:58,,,1,50,,,,
235054667,-0.1068,51.5100,10.4,271.8,13/03/2019 16:20:59,,,1,50,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:20:59,,,1,40,,,,
235053188,-0.1006,51.5105,2.8,301.6,13/03/2019 16:20:59,,,1,56,,,,
235093883,-0.1059,51.5103,0.0,360.0,13/03/2019 16:20:59,,,1,32,,,,
235078641,-0.1197,51.5058,5.3,17.2,13/03/2019 16:20:59,,,1,43,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:20:59,,,1,53,,,,
235081274,-0.1185,51.5093,0.1,360.0,13/03/2019 16:21:00,,,1,50,,,,
235054667,-0.1075,51.5100,12.3,245.8,13/03/2019 16:21:00,,,1,59,,,,
235054667,-0.1068,51.5100,10.4,271.8,13/03/2019 16:21:00,,,1,50,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:21:01,,,1,40,,,,
235053188,-0.1006,51.5105,2.8,301.6,13/03/2019 16:21:01,,,1,56,,,,
235093883,-0.1059,51.5103,0.0,360.0,13/03/2019 16:21:01,,,1,32,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:01,,,1,59,,,,
235078641,-0.1197,51.5058,5.3,17.2,13/03/2019 16:21:01,,,1,43,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:01,,,1,53,,,,
235081274,-0.1185,51.5093,0.1,360.0,13/03/2019 16:21:01,,,1,00,,,,
235081274,-0.1185,51.5093,0.1,360.0,13/03/2019 16:21:01,,,1,50,,,,
235054667,-0.1068,51.5100,10.4,271.8,13/03/2019 16:21:02,,,1,50,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:21:02,,,1,40,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:03,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:03,,,1,53,,,,
235081274,-0.1185,51.5093,0.1,360.0,13/03/2019 16:21:03,,,1,00,,,,
235053647,-0.1095,51.5090,5.9,78.2,13/03/2019 16:21:03,,,1,01,,,,
235081274,-0.1185,51.5093,0.1,360.0,13/03/2019 16:21:03,,,1,50,,,,
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:04,,,1,02,,,,
235054667,-0.1068,51.5100,10.4,271.8,13/03/2019 16:21:04,,,1,50,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:21:04,,,1,40,,,,
235054851,-0.1100,51.5102,5.3,79.9,13/03/2019 16:21:04,,,1,03,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:04,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:05,,,1,53,,,,
235081274,-0.1185,51.5093,0.1,360.0,13/03/2019 16:21:05,,,1,00,,,,
235081274,-0.1185,51.5093,0.1,360.0,13/03/2019 16:21:05,,,1,50,,,,
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:05,,,1,02,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:06,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:06,,,1,53,,,,
235081274,-0.1185,51.5093,0.1,360.0,13/03/2019 16:21:06,,,1,00,,,,
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:07,,,1,02,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:21:07,,,1,40,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:08,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:08,,,1,53,,,,
235081274,-0.1185,51.5093,0.1,360.0,13/03/2019 16:21:08,,,1,00,,,,
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:09,,,1,02,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:21:09,,,1,40,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:09,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:10,,,1,53,,,,
235081274,-0.1185,51.5093,0.1,360.0,13/03/2019 16:21:10,,,1,00,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:21:11,,,1,40,,,,
235080605,-0.1174,51.5098,0.1,267.0,13/03/2019 16:21:11,,,1,09,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:11,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:11,,,1,53,,,,
235081274,-0.1185,51.5093,0.2,360.0,13/03/2019 16:21:12,,,1,10,,,,
235052117,-0.1207,51.5065,3.5,221.0,13/03/2019 16:21:12,,,1,02,,,,
235054667,-0.1061,51.5100,10.2,276.5,13/03/2019 16:21:13,,,1,40,,,,
235080605,-0.1174,51.5098,0.1,267.0,13/03/2019 16:21:13,,,1,09,,,,
235080605,-0.1174,51.5098,0.4,267.0,13/03/2019 16:21:13,,,1,59,,,,
235057011,-0.1198,51.5066,10.4,34.9,13/03/2019 16:21:13,,,1,53,,,,
235081274,-0.1185,51.5093,0.2,360.0,13/03/2019 16:21:14,,,1,10,,,,
235093883,-0.1059,51.5104,0.0,360.0,13/03/2019 16:21:14,,,1,12,,,,
